TransactionID,Amount,CustomerID,Timestamp,MerchantID,FraudIndicator,TransactionAmount,AnomalyScore,Category,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location,Month,DayOfWeek,Hour,ai_risk_score,ai_risk_level,ai_intervention
252,39.64,1546,2022-01-11 11:00:00,2120,0,80.25,0.7075,Food,Customer 1546,52,Address 1546,6282.24,2023-06-30,0,Merchant 2120,Location 2120,2022-01,Tuesday,11,0.3323,Medium Risk,Monitor
253,52.33,1316,2022-01-11 12:00:00,2033,0,15.05,0.5105,Travel,Customer 1316,41,Address 1316,1538.03,2022-11-12,0,Merchant 2033,Location 2033,2022-01,Tuesday,12,0.3057,Medium Risk,Monitor
254,61.16,1768,2022-01-11 13:00:00,2764,0,96.62,0.2817,Retail,Customer 1768,35,Address 1768,1824.8,2024-02-07,0,Merchant 2764,Location 2764,2022-01,Tuesday,13,0.2068,Low Risk,No action
255,74.42,1983,2022-01-11 14:00:00,2903,0,92.88,0.8142,Other,Customer 1983,42,Address 1983,4754.88,2024-09-09,0,Merchant 2903,Location 2903,2022-01,Tuesday,14,0.39,Medium Risk,Monitor
256,16.71,1685,2022-01-11 15:00:00,2242,0,96.47,0.7634,Retail,Customer 1685,18,Address 1685,3046.12,2023-11-16,0,Merchant 2242,Location 2242,2022-01,Tuesday,15,0.3901,Medium Risk,Monitor
257,23.74,1441,2022-01-11 16:00:00,2627,0,71.34,0.5556,Food,Customer 1441,37,Address 1441,7268.83,2023-03-17,0,Merchant 2627,Location 2627,2022-01,Tuesday,16,0.2586,Low Risk,No action
258,72.2,1198,2022-01-11 17:00:00,2266,0,64.85,0.4559,Travel,Customer 1198,62,Address 1198,7777.44,2022-07-17,0,Merchant 2266,Location 2266,2022-01,Tuesday,17,0.2161,Low Risk,No action
259,63.92,1990,2022-01-11 18:00:00,2298,0,79.51,0.2756,Other,Customer 1990,63,Address 1990,7417.76,2024-09-16,0,Merchant 2298,Location 2298,2022-01,Tuesday,18,0.1428,Low Risk,No action
260,32.12,1893,2022-01-11 19:00:00,2228,0,35.66,0.3485,Online,Customer 1893,45,Address 1893,9608.4,2024-06-11,0,Merchant 2228,Location 2228,2022-01,Tuesday,19,0.148,Low Risk,No action
261,61.32,1558,2022-01-11 20:00:00,2911,0,34.53,0.9916,Food,Customer 1558,35,Address 1558,9927.16,2023-07-12,0,Merchant 2911,Location 2911,2022-01,Tuesday,20,0.3986,Medium Risk,Monitor
262,54.47,1995,2022-01-11 21:00:00,2005,0,18.33,0.3872,Retail,Customer 1995,38,Address 1995,2240.52,2024-09-21,0,Merchant 2005,Location 2005,2022-01,Tuesday,21,0.249,Low Risk,No action
263,27.34,1253,2022-01-11 22:00:00,2509,0,11.86,0.2175,Food,Customer 1253,62,Address 1253,5185.76,2022-09-10,0,Merchant 2509,Location 2509,2022-01,Tuesday,22,0.1421,Low Risk,No action
264,31.31,1455,2022-01-11 23:00:00,2104,0,26.57,0.2022,Food,Customer 1455,39,Address 1455,3227.7,2023-03-31,0,Merchant 2104,Location 2104,2022-01,Tuesday,23,0.1604,Low Risk,No action
265,41.54,1017,2022-01-12 00:00:00,2055,0,29.78,0.4933,Food,Customer 1017,21,Address 1017,5179.0,2022-01-17,0,Merchant 2055,Location 2055,2022-01,Wednesday,0,0.2579,Low Risk,No action
266,32.86,1393,2022-01-12 01:00:00,2120,0,59.42,0.612,Travel,Customer 1393,47,Address 1393,3238.18,2023-01-28,0,Merchant 2120,Location 2120,2022-01,Wednesday,1,0.323,Medium Risk,Monitor
267,71.23,1866,2022-01-12 02:00:00,2088,0,10.32,0.3277,Food,Customer 1866,35,Address 1866,9510.17,2024-05-15,0,Merchant 2088,Location 2088,2022-01,Wednesday,2,0.1385,Low Risk,No action
268,26.62,1433,2022-01-12 03:00:00,2681,0,84.32,0.8641,Retail,Customer 1433,55,Address 1433,6991.29,2023-03-09,0,Merchant 2681,Location 2681,2022-01,Wednesday,3,0.3883,Medium Risk,Monitor
269,56.28,1229,2022-01-12 04:00:00,2023,0,36.16,0.7408,Travel,Customer 1229,18,Address 1229,7030.68,2022-08-17,0,Merchant 2023,Location 2023,2022-01,Wednesday,4,0.3361,Medium Risk,Monitor
270,79.54,1786,2022-01-12 05:00:00,2228,0,27.52,0.6078,Travel,Customer 1786,50,Address 1786,1656.96,2024-02-25,0,Merchant 2228,Location 2228,2022-01,Wednesday,5,0.3376,Medium Risk,Monitor
271,36.75,1432,2022-01-12 06:00:00,2611,1,10.83,0.6209,Other,Customer 1432,36,Address 1432,5930.22,2023-03-08,1,Merchant 2611,Location 2611,2022-01,Wednesday,6,0.7985,High Risk,Immediate review
272,58.18,1944,2022-01-12 07:00:00,2241,1,30.82,0.0443,Travel,Customer 1944,51,Address 1944,2462.05,2024-08-01,0,Merchant 2241,Location 2241,2022-01,Wednesday,7,0.4092,Medium Risk,Monitor
273,28.3,1512,2022-01-12 08:00:00,2779,0,20.02,0.4032,Other,Customer 1512,64,Address 1512,7327.56,2023-05-27,0,Merchant 2779,Location 2779,2022-01,Wednesday,8,0.1976,Low Risk,No action
274,35.92,1354,2022-01-12 09:00:00,2262,0,59.43,0.9508,Travel,Customer 1354,45,Address 1354,3903.79,2022-12-20,0,Merchant 2262,Location 2262,2022-01,Wednesday,9,0.4532,Medium Risk,Monitor
275,78.31,1873,2022-01-12 10:00:00,2705,0,49.12,0.7329,Online,Customer 1873,31,Address 1873,4025.34,2024-05-22,0,Merchant 2705,Location 2705,2022-01,Wednesday,10,0.3668,Medium Risk,Monitor
276,35.05,1405,2022-01-12 11:00:00,2397,0,27.23,0.7834,Travel,Customer 1405,59,Address 1405,9246.52,2023-02-09,0,Merchant 2397,Location 2397,2022-01,Wednesday,11,0.3272,Medium Risk,Monitor
277,70.8,1958,2022-01-12 12:00:00,2721,0,41.1,0.4185,Retail,Customer 1958,57,Address 1958,8961.01,2024-08-15,0,Merchant 2721,Location 2721,2022-01,Wednesday,12,0.1868,Low Risk,No action
278,61.11,1893,2022-01-12 13:00:00,2510,0,62.47,0.652,Other,Customer 1893,45,Address 1893,9608.4,2024-06-11,0,Merchant 2510,Location 2510,2022-01,Wednesday,13,0.2668,Low Risk,No action
279,56.75,1535,2022-01-12 14:00:00,2491,0,87.47,0.613,Food,Customer 1535,53,Address 1535,8720.21,2023-06-19,0,Merchant 2491,Location 2491,2022-01,Wednesday,14,0.2608,Low Risk,No action
280,16.22,1351,2022-01-12 15:00:00,2553,0,31.21,0.7702,Retail,Customer 1351,32,Address 1351,6685.6,2022-12-17,0,Merchant 2553,Location 2553,2022-01,Wednesday,15,0.3532,Medium Risk,Monitor
281,10.8,1848,2022-01-12 16:00:00,2714,0,61.9,0.7174,Food,Customer 1848,63,Address 1848,2524.24,2024-04-27,0,Merchant 2714,Location 2714,2022-01,Wednesday,16,0.376,Medium Risk,Monitor
282,66.57,1562,2022-01-12 17:00:00,2713,0,96.57,0.5868,Travel,Customer 1562,43,Address 1562,9938.92,2023-07-16,0,Merchant 2713,Location 2713,2022-01,Wednesday,17,0.2366,Low Risk,No action
283,26.13,1817,2022-01-12 18:00:00,2083,0,37.99,0.5622,Retail,Customer 1817,28,Address 1817,3402.33,2024-03-27,0,Merchant 2083,Location 2083,2022-01,Wednesday,18,0.3028,Medium Risk,Monitor
284,17.32,1649,2022-01-12 19:00:00,2223,0,52.0,0.7038,Other,Customer 1649,54,Address 1649,7708.88,2023-10-11,0,Merchant 2223,Location 2223,2022-01,Wednesday,19,0.3112,Medium Risk,Monitor
285,75.32,1505,2022-01-12 20:00:00,2886,0,61.44,0.265,Retail,Customer 1505,33,Address 1505,9012.48,2023-05-20,0,Merchant 2886,Location 2886,2022-01,Wednesday,20,0.119,Low Risk,No action
286,30.77,1513,2022-01-12 21:00:00,2287,0,14.52,0.1194,Travel,Customer 1513,47,Address 1513,6238.21,2023-05-28,0,Merchant 2287,Location 2287,2022-01,Wednesday,21,0.098,Low Risk,No action
287,57.46,1604,2022-01-12 22:00:00,2328,0,33.91,0.5874,Other,Customer 1604,36,Address 1604,4470.14,2023-08-27,0,Merchant 2328,Location 2328,2022-01,Wednesday,22,0.3011,Medium Risk,Monitor
288,73.3,1972,2022-01-12 23:00:00,2808,0,78.98,0.8257,Online,Customer 1972,39,Address 1972,6552.82,2024-08-29,0,Merchant 2808,Location 2808,2022-01,Wednesday,23,0.3752,Medium Risk,Monitor
289,96.23,1165,2022-01-13 00:00:00,2492,1,51.14,0.7573,Food,Customer 1165,48,Address 1165,4115.72,2022-06-14,0,Merchant 2492,Location 2492,2022-01,Thursday,0,0.6754,High Risk,Immediate review
290,77.3,1597,2022-01-13 01:00:00,2039,0,69.6,0.92,Travel,Customer 1597,33,Address 1597,7732.13,2023-08-20,0,Merchant 2039,Location 2039,2022-01,Thursday,1,0.3983,Medium Risk,Monitor
291,62.77,1462,2022-01-13 02:00:00,2746,0,66.21,0.8947,Retail,Customer 1462,30,Address 1462,9035.12,2023-04-07,0,Merchant 2746,Location 2746,2022-01,Thursday,2,0.3756,Medium Risk,Monitor
292,56.55,1712,2022-01-13 03:00:00,2754,0,58.02,0.3964,Retail,Customer 1712,58,Address 1712,4878.87,2023-12-13,0,Merchant 2754,Location 2754,2022-01,Thursday,3,0.2228,Low Risk,No action
293,91.38,1100,2022-01-13 04:00:00,2038,0,79.28,0.2962,Travel,Customer 1100,62,Address 1100,2924.24,2022-04-10,0,Merchant 2038,Location 2038,2022-01,Thursday,4,0.2058,Low Risk,No action
294,35.15,1009,2022-01-13 05:00:00,2253,0,16.92,0.4012,Other,Customer 1009,32,Address 1009,5359.75,2022-01-09,0,Merchant 2253,Location 2253,2022-01,Thursday,5,0.2196,Low Risk,No action
295,34.52,1770,2022-01-13 06:00:00,2013,0,22.65,0.7979,Food,Customer 1770,36,Address 1770,6847.49,2024-02-09,1,Merchant 2013,Location 2013,2022-01,Thursday,6,0.5605,Medium Risk,Monitor
296,95.33,1678,2022-01-13 07:00:00,2680,0,12.05,0.688,Travel,Customer 1678,33,Address 1678,3302.01,2023-11-09,1,Merchant 2680,Location 2680,2022-01,Thursday,7,0.5558,Medium Risk,Monitor
297,51.4,1953,2022-01-13 08:00:00,2069,0,82.53,0.7406,Retail,Customer 1953,18,Address 1953,5323.11,2024-08-10,0,Merchant 2069,Location 2069,2022-01,Thursday,8,0.3538,Medium Risk,Monitor
298,20.66,1239,2022-01-13 09:00:00,2745,0,67.97,0.3586,Retail,Customer 1239,40,Address 1239,8704.18,2022-08-27,0,Merchant 2745,Location 2745,2022-01,Thursday,9,0.1651,Low Risk,No action
299,53.66,1322,2022-01-13 10:00:00,2243,0,87.36,0.2611,Travel,Customer 1322,29,Address 1322,9411.51,2022-11-18,0,Merchant 2243,Location 2243,2022-01,Thursday,10,0.1107,Low Risk,No action
300,46.24,1940,2022-01-13 11:00:00,2960,0,55.29,0.4915,Other,Customer 1940,29,Address 1940,6383.38,2024-07-28,0,Merchant 2960,Location 2960,2022-01,Thursday,11,0.245,Low Risk,No action
301,42.3,1994,2022-01-13 12:00:00,2616,0,97.06,0.0525,Retail,Customer 1994,63,Address 1994,8791.3,2024-09-20,0,Merchant 2616,Location 2616,2022-01,Thursday,12,0.0398,Low Risk,No action
302,98.07,1437,2022-01-13 13:00:00,2869,0,25.14,0.1268,Online,Customer 1437,19,Address 1437,3712.17,2023-03-13,0,Merchant 2869,Location 2869,2022-01,Thursday,13,0.1278,Low Risk,No action
303,61.99,1135,2022-01-13 14:00:00,2703,0,51.24,0.6908,Travel,Customer 1135,49,Address 1135,7871.39,2022-05-15,0,Merchant 2703,Location 2703,2022-01,Thursday,14,0.3056,Medium Risk,Monitor
304,15.08,1873,2022-01-13 15:00:00,2280,0,50.71,0.8317,Retail,Customer 1873,31,Address 1873,4025.34,2024-05-22,0,Merchant 2280,Location 2280,2022-01,Thursday,15,0.4072,Medium Risk,Monitor
305,79.21,1233,2022-01-13 16:00:00,2020,0,44.03,0.3719,Food,Customer 1233,28,Address 1233,8198.18,2022-08-21,0,Merchant 2020,Location 2020,2022-01,Thursday,16,0.1758,Low Risk,No action
306,14.33,1701,2022-01-13 17:00:00,2265,0,18.86,0.1316,Retail,Customer 1701,50,Address 1701,7244.5,2023-12-02,0,Merchant 2265,Location 2265,2022-01,Thursday,17,0.0914,Low Risk,No action
307,74.05,1392,2022-01-13 18:00:00,2239,0,13.48,0.2694,Travel,Customer 1392,37,Address 1392,4900.65,2023-01-27,0,Merchant 2239,Location 2239,2022-01,Thursday,18,0.1677,Low Risk,No action
308,13.78,1468,2022-01-13 19:00:00,2020,0,74.97,0.7677,Online,Customer 1468,45,Address 1468,2410.57,2023-04-13,0,Merchant 2020,Location 2020,2022-01,Thursday,19,0.3983,Medium Risk,Monitor
309,20.77,1759,2022-01-13 20:00:00,2401,0,18.1,0.1151,Food,Customer 1759,33,Address 1759,6608.39,2024-01-29,0,Merchant 2401,Location 2401,2022-01,Thursday,20,0.0916,Low Risk,No action
310,76.95,1305,2022-01-13 21:00:00,2469,0,83.11,0.0838,Other,Customer 1305,23,Address 1305,4624.66,2022-11-01,0,Merchant 2469,Location 2469,2022-01,Thursday,21,0.1001,Low Risk,No action
311,27.45,1060,2022-01-13 22:00:00,2864,0,81.95,0.007,Travel,Customer 1060,38,Address 1060,9121.23,2022-03-01,0,Merchant 2864,Location 2864,2022-01,Thursday,22,0.0156,Low Risk,No action
312,61.48,1557,2022-01-13 23:00:00,2195,0,18.37,0.286,Retail,Customer 1557,62,Address 1557,7585.9,2023-07-11,0,Merchant 2195,Location 2195,2022-01,Thursday,23,0.1473,Low Risk,No action
313,68.64,1157,2022-01-14 00:00:00,2479,0,71.94,0.5814,Online,Customer 1157,60,Address 1157,8479.72,2022-06-06,1,Merchant 2479,Location 2479,2022-01,Friday,0,0.4514,Medium Risk,Monitor
314,39.75,1968,2022-01-14 01:00:00,2354,0,84.89,0.3179,Other,Customer 1968,60,Address 1968,8884.81,2024-08-25,0,Merchant 2354,Location 2354,2022-01,Friday,1,0.1431,Low Risk,No action
315,84.98,1555,2022-01-14 02:00:00,2506,0,26.09,0.7364,Travel,Customer 1555,45,Address 1555,1776.63,2023-07-09,0,Merchant 2506,Location 2506,2022-01,Friday,2,0.3912,Medium Risk,Monitor
316,29.29,1112,2022-01-14 03:00:00,2285,0,65.3,0.7811,Other,Customer 1112,57,Address 1112,9784.74,2022-04-22,0,Merchant 2285,Location 2285,2022-01,Friday,3,0.3176,Medium Risk,Monitor
317,22.19,1292,2022-01-14 04:00:00,2771,0,64.94,0.8705,Online,Customer 1292,33,Address 1292,5713.49,2022-10-19,0,Merchant 2771,Location 2771,2022-01,Friday,4,0.405,Medium Risk,Monitor
318,64.23,1346,2022-01-14 05:00:00,2335,0,45.88,0.6174,Retail,Customer 1346,36,Address 1346,5760.89,2022-12-12,0,Merchant 2335,Location 2335,2022-01,Friday,5,0.2983,Low Risk,No action
319,23.85,1129,2022-01-14 06:00:00,2787,0,42.37,0.8086,Food,Customer 1129,39,Address 1129,4396.08,2022-05-09,0,Merchant 2787,Location 2787,2022-01,Friday,6,0.3932,Medium Risk,Monitor
320,86.0,1903,2022-01-14 07:00:00,2261,0,16.03,0.8848,Other,Customer 1903,18,Address 1903,4718.54,2024-06-21,0,Merchant 2261,Location 2261,2022-01,Friday,7,0.4206,Medium Risk,Monitor
321,57.87,1078,2022-01-14 08:00:00,2142,0,54.92,0.939,Food,Customer 1078,32,Address 1078,1689.97,2022-03-19,0,Merchant 2142,Location 2142,2022-01,Friday,8,0.4724,Medium Risk,Monitor
322,88.1,1702,2022-01-14 09:00:00,2894,0,75.79,0.3085,Retail,Customer 1702,32,Address 1702,4756.91,2023-12-03,0,Merchant 2894,Location 2894,2022-01,Friday,9,0.1878,Low Risk,No action
323,10.05,1466,2022-01-14 10:00:00,2419,0,87.55,0.6342,Online,Customer 1466,41,Address 1466,2569.13,2023-04-11,0,Merchant 2419,Location 2419,2022-01,Friday,10,0.3405,Medium Risk,Monitor
324,24.84,1437,2022-01-14 11:00:00,2375,0,36.02,0.8322,Retail,Customer 1437,19,Address 1437,3712.17,2023-03-13,0,Merchant 2375,Location 2375,2022-01,Friday,11,0.4106,Medium Risk,Monitor
325,47.85,1783,2022-01-14 12:00:00,2920,0,49.46,0.727,Online,Customer 1783,31,Address 1783,9728.45,2024-02-22,0,Merchant 2920,Location 2920,2022-01,Friday,12,0.2954,Low Risk,No action
326,14.62,1695,2022-01-14 13:00:00,2801,0,94.55,0.3551,Food,Customer 1695,35,Address 1695,8553.04,2023-11-26,0,Merchant 2801,Location 2801,2022-01,Friday,13,0.1636,Low Risk,No action
327,60.69,1172,2022-01-14 14:00:00,2679,0,12.07,0.537,Other,Customer 1172,26,Address 1172,3476.68,2022-06-21,0,Merchant 2679,Location 2679,2022-01,Friday,14,0.295,Low Risk,No action
328,61.23,1947,2022-01-14 15:00:00,2606,0,24.06,0.6319,Food,Customer 1947,22,Address 1947,5158.86,2024-08-04,0,Merchant 2606,Location 2606,2022-01,Friday,15,0.3104,Medium Risk,Monitor
329,93.37,1086,2022-01-14 16:00:00,2182,0,59.3,0.9565,Food,Customer 1086,63,Address 1086,4190.33,2022-03-27,0,Merchant 2182,Location 2182,2022-01,Friday,16,0.4524,Medium Risk,Monitor
330,95.77,1275,2022-01-14 17:00:00,2838,1,47.67,0.0665,Food,Customer 1275,23,Address 1275,7853.49,2022-10-02,0,Merchant 2838,Location 2838,2022-01,Friday,17,0.3581,Medium Risk,Monitor
331,61.89,1657,2022-01-14 18:00:00,2567,0,34.97,0.792,Other,Customer 1657,58,Address 1657,4754.22,2023-10-19,0,Merchant 2567,Location 2567,2022-01,Friday,18,0.3821,Medium Risk,Monitor
332,70.87,1624,2022-01-14 19:00:00,2217,1,28.36,0.2218,Travel,Customer 1624,18,Address 1624,4741.81,2023-09-16,0,Merchant 2217,Location 2217,2022-01,Friday,19,0.4512,Medium Risk,Monitor
333,70.96,1729,2022-01-14 20:00:00,2211,1,70.81,0.0128,Other,Customer 1729,29,Address 1729,8202.53,2023-12-30,0,Merchant 2211,Location 2211,2022-01,Friday,20,0.3288,Medium Risk,Monitor
334,47.6,1300,2022-01-14 21:00:00,2474,0,51.92,0.9481,Other,Customer 1300,40,Address 1300,2446.9,2022-10-27,0,Merchant 2474,Location 2474,2022-01,Friday,21,0.4662,Medium Risk,Monitor
335,84.75,1311,2022-01-14 22:00:00,2919,0,94.07,0.4042,Online,Customer 1311,25,Address 1311,9253.48,2022-11-07,0,Merchant 2919,Location 2919,2022-01,Friday,22,0.1763,Low Risk,No action
336,64.3,1280,2022-01-14 23:00:00,2899,0,64.06,0.7986,Retail,Customer 1280,60,Address 1280,8295.28,2022-10-07,0,Merchant 2899,Location 2899,2022-01,Friday,23,0.3435,Medium Risk,Monitor
337,59.07,1058,2022-01-15 00:00:00,2169,0,53.57,0.1481,Other,Customer 1058,50,Address 1058,5923.74,2022-02-27,0,Merchant 2169,Location 2169,2022-01,Saturday,0,0.1109,Low Risk,No action
338,59.4,1724,2022-01-15 01:00:00,2346,0,21.96,0.0749,Travel,Customer 1724,32,Address 1724,8830.49,2023-12-25,0,Merchant 2346,Location 2346,2022-01,Saturday,1,0.0472,Low Risk,No action
339,26.18,1067,2022-01-15 02:00:00,2081,0,81.11,0.3974,Travel,Customer 1067,36,Address 1067,1555.74,2022-03-08,0,Merchant 2081,Location 2081,2022-01,Saturday,2,0.2598,Low Risk,No action
340,69.17,1438,2022-01-15 03:00:00,2089,0,55.87,0.4931,Other,Customer 1438,53,Address 1438,1779.99,2023-03-14,0,Merchant 2089,Location 2089,2022-01,Saturday,3,0.2947,Low Risk,No action
341,60.74,1531,2022-01-15 04:00:00,2215,0,48.3,0.7016,Food,Customer 1531,29,Address 1531,3163.59,2023-06-15,0,Merchant 2215,Location 2215,2022-01,Saturday,4,0.3622,Medium Risk,Monitor
342,60.99,1832,2022-01-15 05:00:00,2847,0,10.14,0.0533,Retail,Customer 1832,47,Address 1832,8825.82,2024-04-11,0,Merchant 2847,Location 2847,2022-01,Saturday,5,0.0403,Low Risk,No action
343,99.62,1382,2022-01-15 06:00:00,2235,0,39.33,0.8574,Other,Customer 1382,40,Address 1382,2896.26,2023-01-17,0,Merchant 2235,Location 2235,2022-01,Saturday,6,0.4292,Medium Risk,Monitor
344,84.5,1434,2022-01-15 07:00:00,2238,0,45.51,0.3376,Other,Customer 1434,19,Address 1434,1696.88,2023-03-10,0,Merchant 2238,Location 2238,2022-01,Saturday,7,0.2344,Low Risk,No action
345,37.87,1440,2022-01-15 08:00:00,2363,0,38.55,0.8583,Food,Customer 1440,23,Address 1440,3930.47,2023-03-16,0,Merchant 2363,Location 2363,2022-01,Saturday,8,0.42,Medium Risk,Monitor
346,38.69,1157,2022-01-15 09:00:00,2571,0,75.64,0.6594,Food,Customer 1157,60,Address 1157,8479.72,2022-06-06,1,Merchant 2571,Location 2571,2022-01,Saturday,9,0.4842,Medium Risk,Monitor
347,45.03,1328,2022-01-15 10:00:00,2382,0,55.29,0.9822,Other,Customer 1328,62,Address 1328,4443.04,2022-11-24,0,Merchant 2382,Location 2382,2022-01,Saturday,10,0.4594,Medium Risk,Monitor
348,66.48,1957,2022-01-15 11:00:00,2371,0,76.79,0.1977,Online,Customer 1957,57,Address 1957,1547.05,2024-08-14,0,Merchant 2371,Location 2371,2022-01,Saturday,11,0.1752,Low Risk,No action
349,74.41,1033,2022-01-15 12:00:00,2813,0,54.42,0.1013,Online,Customer 1033,50,Address 1033,2042.69,2022-02-02,0,Merchant 2813,Location 2813,2022-01,Saturday,12,0.1342,Low Risk,No action
350,43.46,1615,2022-01-15 13:00:00,2836,0,81.39,0.1253,Online,Customer 1615,28,Address 1615,9447.92,2023-09-07,0,Merchant 2836,Location 2836,2022-01,Saturday,13,0.0595,Low Risk,No action
351,28.34,1286,2022-01-15 14:00:00,2697,0,76.11,0.6251,Food,Customer 1286,19,Address 1286,7665.93,2022-10-13,0,Merchant 2697,Location 2697,2022-01,Saturday,14,0.2789,Low Risk,No action
352,70.0,1152,2022-01-15 15:00:00,2762,0,70.43,0.1458,Food,Customer 1152,55,Address 1152,7273.98,2022-06-01,0,Merchant 2762,Location 2762,2022-01,Saturday,15,0.0935,Low Risk,No action
353,89.09,1137,2022-01-15 16:00:00,2051,0,49.06,0.0346,Other,Customer 1137,52,Address 1137,4843.33,2022-05-17,0,Merchant 2051,Location 2051,2022-01,Saturday,16,0.0776,Low Risk,No action
354,66.09,1176,2022-01-15 17:00:00,2208,0,24.82,0.6254,Travel,Customer 1176,20,Address 1176,5493.96,2022-06-25,0,Merchant 2208,Location 2208,2022-01,Saturday,17,0.3052,Medium Risk,Monitor
355,76.35,1281,2022-01-15 18:00:00,2661,0,70.79,0.5964,Retail,Customer 1281,33,Address 1281,3183.47,2022-10-08,0,Merchant 2661,Location 2661,2022-01,Saturday,18,0.318,Medium Risk,Monitor
356,60.31,1788,2022-01-15 19:00:00,2862,0,32.23,0.2471,Online,Customer 1788,27,Address 1788,4384.8,2024-02-27,0,Merchant 2862,Location 2862,2022-01,Saturday,19,0.163,Low Risk,No action
357,33.61,1048,2022-01-15 20:00:00,2429,0,50.07,0.2008,Travel,Customer 1048,49,Address 1048,8077.88,2022-02-17,0,Merchant 2429,Location 2429,2022-01,Saturday,20,0.1048,Low Risk,No action
358,41.67,1073,2022-01-15 21:00:00,2897,0,50.13,0.1206,Food,Customer 1073,56,Address 1073,2392.92,2022-03-14,0,Merchant 2897,Location 2897,2022-01,Saturday,21,0.1396,Low Risk,No action
359,47.13,1572,2022-01-15 22:00:00,2859,0,46.66,0.2318,Travel,Customer 1572,47,Address 1572,2067.49,2023-07-26,0,Merchant 2859,Location 2859,2022-01,Saturday,22,0.1839,Low Risk,No action
360,41.71,1264,2022-01-15 23:00:00,2534,0,16.47,0.2032,Online,Customer 1264,23,Address 1264,6025.0,2022-09-21,0,Merchant 2534,Location 2534,2022-01,Saturday,23,0.1314,Low Risk,No action
361,42.33,1864,2022-01-16 00:00:00,2094,0,76.54,0.3558,Travel,Customer 1864,50,Address 1864,2546.73,2024-05-13,0,Merchant 2094,Location 2094,2022-01,Sunday,0,0.2327,Low Risk,No action
362,71.74,1285,2022-01-16 01:00:00,2271,0,30.77,0.506,Food,Customer 1285,47,Address 1285,6040.58,2022-10-12,0,Merchant 2271,Location 2271,2022-01,Sunday,1,0.2544,Low Risk,No action
363,72.73,1602,2022-01-16 02:00:00,2287,0,40.85,0.4523,Online,Customer 1602,40,Address 1602,3812.53,2023-08-25,0,Merchant 2287,Location 2287,2022-01,Sunday,2,0.2602,Low Risk,No action
364,61.14,1424,2022-01-16 03:00:00,2929,1,78.35,0.8304,Travel,Customer 1424,37,Address 1424,4344.55,2023-02-28,0,Merchant 2929,Location 2929,2022-01,Sunday,3,0.7024,High Risk,Immediate review
365,40.66,1214,2022-01-16 04:00:00,2103,0,81.52,0.239,Travel,Customer 1214,42,Address 1214,6807.18,2022-08-02,0,Merchant 2103,Location 2103,2022-01,Sunday,4,0.133,Low Risk,No action
366,38.32,1682,2022-01-16 05:00:00,2597,0,80.29,0.6574,Other,Customer 1682,39,Address 1682,8191.36,2023-11-13,0,Merchant 2597,Location 2597,2022-01,Sunday,5,0.2871,Low Risk,No action
367,67.84,1777,2022-01-16 06:00:00,2279,0,66.11,0.8736,Travel,Customer 1777,54,Address 1777,7409.5,2024-02-16,0,Merchant 2279,Location 2279,2022-01,Sunday,6,0.3866,Medium Risk,Monitor
368,39.31,1272,2022-01-16 07:00:00,2221,0,24.23,0.8905,Online,Customer 1272,48,Address 1272,5815.46,2022-09-29,0,Merchant 2221,Location 2221,2022-01,Sunday,7,0.4099,Medium Risk,Monitor
369,70.52,1427,2022-01-16 08:00:00,2533,0,20.7,0.9141,Online,Customer 1427,37,Address 1427,6728.01,2023-03-03,0,Merchant 2533,Location 2533,2022-01,Sunday,8,0.41,Medium Risk,Monitor
370,81.39,1159,2022-01-16 09:00:00,2562,0,91.15,0.1124,Other,Customer 1159,54,Address 1159,5766.57,2022-06-08,0,Merchant 2562,Location 2562,2022-01,Sunday,9,0.0979,Low Risk,No action
371,41.03,1339,2022-01-16 10:00:00,2262,0,50.12,0.8686,Other,Customer 1339,53,Address 1339,7374.11,2022-12-05,0,Merchant 2262,Location 2262,2022-01,Sunday,10,0.384,Medium Risk,Monitor
372,63.45,1855,2022-01-16 11:00:00,2193,0,66.69,0.1378,Other,Customer 1855,56,Address 1855,3104.73,2024-05-04,0,Merchant 2193,Location 2193,2022-01,Sunday,11,0.1376,Low Risk,No action
373,71.95,1825,2022-01-16 12:00:00,2923,0,77.02,0.5467,Other,Customer 1825,54,Address 1825,4886.01,2024-04-04,0,Merchant 2923,Location 2923,2022-01,Sunday,12,0.2815,Low Risk,No action
374,74.94,1967,2022-01-16 13:00:00,2978,0,88.19,0.5092,Travel,Customer 1967,21,Address 1967,1188.95,2024-08-24,0,Merchant 2978,Location 2978,2022-01,Sunday,13,0.3072,Medium Risk,Monitor
375,29.14,1914,2022-01-16 14:00:00,2497,0,49.65,0.4006,Retail,Customer 1914,18,Address 1914,6131.25,2024-07-02,0,Merchant 2497,Location 2497,2022-01,Sunday,14,0.2122,Low Risk,No action
376,30.41,1311,2022-01-16 15:00:00,2645,0,13.29,0.4111,Food,Customer 1311,25,Address 1311,9253.48,2022-11-07,0,Merchant 2645,Location 2645,2022-01,Sunday,15,0.1799,Low Risk,No action
377,94.35,1416,2022-01-16 16:00:00,2175,0,79.81,0.6581,Online,Customer 1416,21,Address 1416,9375.11,2023-02-20,0,Merchant 2175,Location 2175,2022-01,Sunday,16,0.2726,Low Risk,No action
